"details","numbers","time"
"Total domains","62482","1475751607.05805"
"Total domains registered within 24 hours","124","1475751607.05805"
"Total domains registered within 30 Days","2552","1475751607.05805"
"Total domains renewed within 24 Hours","97","1475751607.05805"
"Total domains renewed within 30 Days","2629","1475751607.05805"
"Total domains","62497","1475758807.32956"
"Total domains registered within 24 hours","113","1475758807.32956"
"Total domains registered within 30 Days","2552","1475758807.32956"
"Total domains renewed within 24 Hours","97","1475758807.32956"
"Total domains renewed within 30 Days","2632","1475758807.32956"
"Total domains","62511","1475766007.19532"
"Total domains registered within 24 hours","114","1475766007.19532"
"Total domains registered within 30 Days","2551","1475766007.19532"
"Total domains renewed within 24 Hours","97","1475766007.19532"
"Total domains renewed within 30 Days","2634","1475766007.19532"
"Total domains","62522","1475773206.80926"
"Total domains registered within 24 hours","116","1475773206.80926"
"Total domains registered within 30 Days","2550","1475773206.80926"
"Total domains renewed within 24 Hours","101","1475773206.80926"
"Total domains renewed within 30 Days","2638","1475773206.80926"
"Total domains","62535","1475780406.7518"
"Total domains registered within 24 hours","121","1475780406.7518"
"Total domains registered within 30 Days","2554","1475780406.7518"
"Total domains renewed within 24 Hours","94","1475780406.7518"
"Total domains renewed within 30 Days","2634","1475780406.7518"
"Total domains","62539","1475787606.96934"
"Total domains registered within 24 hours","123","1475787606.96934"
"Total domains registered within 30 Days","2555","1475787606.96934"
"Total domains renewed within 24 Hours","95","1475787606.96934"
"Total domains renewed within 30 Days","2632","1475787606.96934"
"Total domains","62539","1475794806.7653"
"Total domains registered within 24 hours","122","1475794806.7653"
"Total domains registered within 30 Days","2555","1475794806.7653"
"Total domains renewed within 24 Hours","96","1475794806.7653"
"Total domains renewed within 30 Days","2632","1475794806.7653"
"Total domains","62539","1475802007.44224"
"Total domains registered within 24 hours","120","1475802007.44224"
"Total domains registered within 30 Days","2554","1475802007.44224"
"Total domains renewed within 24 Hours","96","1475802007.44224"
"Total domains renewed within 30 Days","2632","1475802007.44224"
"Total domains","62516","1475809207.31608"
"Total domains registered within 24 hours","120","1475809207.31608"
"Total domains registered within 30 Days","2554","1475809207.31608"
"Total domains renewed within 24 Hours","95","1475809207.31608"
"Total domains renewed within 30 Days","2632","1475809207.31608"
"Total domains","62517","1475816407.1508"
"Total domains registered within 24 hours","119","1475816407.1508"
"Total domains registered within 30 Days","2552","1475816407.1508"
"Total domains renewed within 24 Hours","90","1475816407.1508"
"Total domains renewed within 30 Days","2632","1475816407.1508"
"Total domains","62529","1475823605.80768"
"Total domains registered within 24 hours","116","1475823605.80768"
"Total domains registered within 30 Days","2558","1475823605.80768"
"Total domains renewed within 24 Hours","81","1475823605.80768"
"Total domains renewed within 30 Days","2623","1475823605.80768"
"Total domains","62546","1475830806.17174"
"Total domains registered within 24 hours","109","1475830806.17174"
"Total domains registered within 30 Days","2555","1475830806.17174"
"Total domains renewed within 24 Hours","75","1475830806.17174"
"Total domains renewed within 30 Days","2620","1475830806.17174"
"Total domains","62567","1475838006.69682"
"Total domains registered within 24 hours","108","1475838006.69682"
"Total domains registered within 30 Days","2571","1475838006.69682"
"Total domains renewed within 24 Hours","75","1475838006.69682"
"Total domains renewed within 30 Days","2618","1475838006.69682"
"Total domains","62588","1475845206.76047"
"Total domains registered within 24 hours","114","1475845206.76047"
"Total domains registered within 30 Days","2569","1475845206.76047"
"Total domains renewed within 24 Hours","69","1475845206.76047"
"Total domains renewed within 30 Days","2615","1475845206.76047"
"Total domains","62609","1475852406.27268"
"Total domains registered within 24 hours","122","1475852406.27268"
"Total domains registered within 30 Days","2570","1475852406.27268"
"Total domains renewed within 24 Hours","63","1475852406.27268"
"Total domains renewed within 30 Days","2613","1475852406.27268"
"Total domains","62625","1475859606.44181"
"Total domains registered within 24 hours","127","1475859606.44181"
"Total domains registered within 30 Days","2580","1475859606.44181"
"Total domains renewed within 24 Hours","72","1475859606.44181"
"Total domains renewed within 30 Days","2617","1475859606.44181"
"Total domains","62635","1475866805.90331"
"Total domains registered within 24 hours","124","1475866805.90331"
"Total domains registered within 30 Days","2583","1475866805.90331"
"Total domains renewed within 24 Hours","78","1475866805.90331"
"Total domains renewed within 30 Days","2619","1475866805.90331"
"Total domains","62638","1475874005.87463"
"Total domains registered within 24 hours","123","1475874005.87463"
"Total domains registered within 30 Days","2586","1475874005.87463"
"Total domains renewed within 24 Hours","79","1475874005.87463"
"Total domains renewed within 30 Days","2616","1475874005.87463"
"Total domains","62639","1475881206.09861"
"Total domains registered within 24 hours","124","1475881206.09861"
"Total domains registered within 30 Days","2585","1475881206.09861"
"Total domains renewed within 24 Hours","81","1475881206.09861"
"Total domains renewed within 30 Days","2618","1475881206.09861"
"Total domains","62639","1475888406.14826"
"Total domains registered within 24 hours","124","1475888406.14826"
"Total domains registered within 30 Days","2580","1475888406.14826"
"Total domains renewed within 24 Hours","82","1475888406.14826"
"Total domains renewed within 30 Days","2619","1475888406.14826"
"Total domains","62588","1475895606.09804"
"Total domains registered within 24 hours","124","1475895606.09804"
"Total domains registered within 30 Days","2580","1475895606.09804"
"Total domains renewed within 24 Hours","82","1475895606.09804"
"Total domains renewed within 30 Days","2619","1475895606.09804"
"Total domains","62589","1475902806.04869"
"Total domains registered within 24 hours","123","1475902806.04869"
"Total domains registered within 30 Days","2580","1475902806.04869"
"Total domains renewed within 24 Hours","82","1475902806.04869"
"Total domains renewed within 30 Days","2619","1475902806.04869"
"Total domains","62591","1475910007.03589"
"Total domains registered within 24 hours","113","1475910007.03589"
"Total domains registered within 30 Days","2572","1475910007.03589"
"Total domains renewed within 24 Hours","79","1475910007.03589"
"Total domains renewed within 30 Days","2612","1475910007.03589"
"Total domains","62594","1475917206.19266"
"Total domains registered within 24 hours","99","1475917206.19266"
"Total domains registered within 30 Days","2562","1475917206.19266"
"Total domains renewed within 24 Hours","74","1475917206.19266"
"Total domains renewed within 30 Days","2605","1475917206.19266"
"Total domains","62602","1475924406.15649"
"Total domains registered within 24 hours","86","1475924406.15649"
"Total domains registered within 30 Days","2558","1475924406.15649"
"Total domains renewed within 24 Hours","70","1475924406.15649"
"Total domains renewed within 30 Days","2601","1475924406.15649"
"Total domains","62607","1475931605.96642"
"Total domains registered within 24 hours","72","1475931605.96642"
"Total domains registered within 30 Days","2536","1475931605.96642"
"Total domains renewed within 24 Hours","60","1475931605.96642"
"Total domains renewed within 30 Days","2583","1475931605.96642"
"Total domains","62622","1475938806.49086"
"Total domains registered within 24 hours","66","1475938806.49086"
"Total domains registered within 30 Days","2528","1475938806.49086"
"Total domains renewed within 24 Hours","58","1475938806.49086"
"Total domains renewed within 30 Days","2566","1475938806.49086"
"Total domains","62624","1475946006.4556"
"Total domains registered within 24 hours","52","1475946006.4556"
"Total domains registered within 30 Days","2521","1475946006.4556"
"Total domains renewed within 24 Hours","45","1475946006.4556"
"Total domains renewed within 30 Days","2560","1475946006.4556"
"Total domains","62625","1475953206.33778"
"Total domains registered within 24 hours","43","1475953206.33778"
"Total domains registered within 30 Days","2518","1475953206.33778"
"Total domains renewed within 24 Hours","40","1475953206.33778"
"Total domains renewed within 30 Days","2554","1475953206.33778"
"Total domains","62629","1475960406.45611"
"Total domains registered within 24 hours","44","1475960406.45611"
"Total domains registered within 30 Days","2517","1475960406.45611"
"Total domains renewed within 24 Hours","38","1475960406.45611"
"Total domains renewed within 30 Days","2553","1475960406.45611"
"Total domains","62629","1475967606.4586"
"Total domains registered within 24 hours","43","1475967606.4586"
"Total domains registered within 30 Days","2517","1475967606.4586"
"Total domains renewed within 24 Hours","35","1475967606.4586"
"Total domains renewed within 30 Days","2553","1475967606.4586"
"Total domains","62629","1475974805.59508"
"Total domains registered within 24 hours","43","1475974805.59508"
"Total domains registered within 30 Days","2516","1475974805.59508"
"Total domains renewed within 24 Hours","35","1475974805.59508"
"Total domains renewed within 30 Days","2554","1475974805.59508"
"Total domains","62576","1475982006.44185"
"Total domains registered within 24 hours","45","1475982006.44185"
"Total domains registered within 30 Days","2518","1475982006.44185"
"Total domains renewed within 24 Hours","35","1475982006.44185"
